time	V(n001)	V(n002)	I(D1)
0.000000000000000e+000	5.000000e+000	4.307111e+000	4.307111e-003
2.973035713824047e-004	5.345251e+000	4.650440e+000	4.650440e-003
5.946071427648093e-004	5.676315e+000	4.979731e+000	4.979731e-003
8.919107141472140e-004	5.993193e+000	5.294987e+000	5.294987e-003
1.189214285529619e-003	6.295884e+000	5.596205e+000	5.596205e-003
1.486517856912023e-003	6.584388e+000	5.883387e+000	5.883387e-003
1.783821428294428e-003	6.858705e+000	6.156533e+000	6.156533e-003
2.081124999676832e-003	7.118835e+000	6.415641e+000	6.415641e-003
2.708915178248260e-003	7.563625e+000	6.858731e+000	6.858731e-003
3.336705356819687e-003	7.851290e+000	7.145300e+000	7.145300e-003
3.964495535391115e-003	7.981830e+000	7.275346e+000	7.275346e-003
4.592285713962543e-003	7.955247e+000	7.248871e+000	7.248871e-003
5.220075892533970e-003	7.771539e+000	7.065874e+000	7.065874e-003
5.847866071105398e-003	7.430706e+000	6.726355e+000	6.726355e-003
6.475656249676824e-003	6.932750e+000	6.230314e+000	6.230314e-003
6.768624999676823e-003	6.658875e+000	5.957552e+000	5.957552e-003
7.061593749676822e-003	6.373869e+000	5.673806e+000	5.673806e-003
7.354562499676821e-003	6.077732e+000	5.379077e+000	5.379077e-003
7.647531249676820e-003	5.770463e+000	5.073364e+000	5.073364e-003
7.940499999676819e-003	5.452064e+000	4.756667e+000	4.756667e-003
8.233468749676818e-003	5.122533e+000	4.428987e+000	4.428987e-003
8.526437499676817e-003	4.781871e+000	4.090323e+000	4.090323e-003
8.777553571105387e-003	4.494207e+000	3.804520e+000	3.804520e-003
9.028669642533958e-003	4.217002e+000	3.529259e+000	3.529259e-003
9.279785713962529e-003	3.950255e+000	3.264540e+000	3.264540e-003
9.530901785391099e-003	3.693967e+000	3.010362e+000	3.010362e-003
9.782017856819670e-003	3.448138e+000	2.766726e+000	2.766726e-003
1.003313392824824e-002	3.212768e+000	2.533631e+000	2.533631e-003
1.028424999967681e-002	2.987856e+000	2.311078e+000	2.311078e-003
1.057721874967681e-002	2.755007e+000	2.080941e+000	2.080942e-003
1.087018749967681e-002	2.549515e+000	1.878102e+000	1.878102e-003
1.116315624967681e-002	2.373885e+000	1.704972e+000	1.704972e-003
