time	I(R1)	I(R4)
0.000000000000000e+000	0.000000e+000	0.000000e+000
8.386547440122417e-007	4.416439e-005	-1.375407e-013
1.677309488024483e-006	8.823149e-005	-1.851045e-013
2.515964232036725e-006	1.322013e-004	-1.426913e-013
3.354618976048967e-006	1.760738e-004	-1.030125e-014
4.193273720061209e-006	2.198490e-004	2.120658e-013
5.031928464073450e-006	2.635270e-004	5.244097e-013
5.870583208085690e-006	3.071076e-004	9.267306e-013
6.577687893659722e-006	3.436064e-004	3.317728e-012
6.807274968685049e-006	3.554206e-004	5.102544e-012
7.027079723891551e-006	3.667120e-004	7.852905e-012
7.264072140923347e-006	3.788647e-004	1.268078e-011
7.536868850335922e-006	3.928257e-004	2.183279e-011
7.798187052815229e-006	4.061690e-004	3.668248e-011
8.075546815397798e-006	4.202945e-004	6.345822e-011
8.343199859696802e-006	4.338840e-004	1.075934e-010
8.619919627185721e-006	4.478814e-004	1.853170e-010
8.890523709025354e-006	4.615033e-004	3.149077e-010
9.167176802762540e-006	4.753375e-004	5.399992e-010
9.440660781941935e-006	4.888831e-004	9.174327e-010
9.718895680359254e-006	5.024690e-004	1.565256e-009
9.996585027970147e-006	5.157371e-004	2.649394e-009
1.027947017414052e-005	5.288155e-004	4.481263e-009
1.056543523261276e-005	5.414032e-004	7.508416e-009
1.086000625091473e-005	5.534895e-004	1.250276e-008
1.116457559081510e-005	5.648445e-004	2.056915e-008
1.148651574179999e-005	5.754568e-004	3.350979e-008
1.183159776883274e-005	5.852561e-004	5.393822e-008
1.221075443287562e-005	5.943287e-004	8.604433e-008
1.263493265583316e-005	6.027403e-004	1.360789e-007
1.312008931546879e-005	6.106240e-004	2.139906e-007
1.368374378640854e-005	6.180812e-004	3.348794e-007
1.434939584757914e-005	6.252325e-004	5.225429e-007
1.514452582515179e-005	6.321757e-004	8.133611e-007
1.610523769547338e-005	6.390251e-004	1.264186e-006
1.727587866031294e-005	6.458997e-004	1.962149e-006
1.871495570968753e-005	6.529591e-004	3.042371e-006
2.049772180667283e-005	6.604132e-004	4.711406e-006
2.272644646204659e-005	6.685676e-004	7.285878e-006
2.554202804211728e-005	6.778587e-004	1.124299e-005
2.915297777018641e-005	6.889103e-004	1.729100e-005
3.389450507630624e-005	7.025318e-004	2.642339e-005
4.040855530500421e-005	7.200523e-004	4.001594e-005
4.414375572637198e-005	7.292175e-004	4.793699e-005
4.764800306163795e-005	7.367203e-004	5.502536e-005
5.212446194833574e-005	7.445882e-004	6.310590e-005
5.645830997537405e-005	7.494791e-004	6.912803e-005
6.348840204669418e-005	7.490285e-004	7.323912e-005
7.471204708648057e-005	7.226572e-004	6.631289e-005
8.543263697008570e-005	6.031568e-004	4.514811e-005
9.265438046039730e-005	3.824230e-004	2.314943e-005
9.769173536463667e-005	1.445281e-004	5.397547e-006
1.033398404910729e-004	-1.471140e-004	-1.482135e-005
1.092559595846749e-004	-4.413228e-004	-3.491887e-005
1.203453036080736e-004	-9.339561e-004	-6.791708e-005
1.314853813024636e-004	-1.338206e-003	-9.444288e-005
1.373198808588473e-004	-1.492453e-003	-1.042960e-004
1.415267854956735e-004	-1.567205e-003	-1.088695e-004
1.446599809411502e-004	-1.602379e-003	-1.108573e-004
1.482419553685433e-004	-1.620857e-003	-1.116381e-004
1.523460058856632e-004	-1.616360e-003	-1.107881e-004
1.568187107281791e-004	-1.576274e-003	-1.075052e-004
1.640703412479603e-004	-1.435060e-003	-9.721380e-005
1.756159039381150e-004	-1.070591e-003	-7.201359e-005
1.883206308489169e-004	-5.319502e-004	-3.582595e-005
1.975030527975657e-004	-7.828755e-005	-5.877461e-006
2.059330690543362e-004	3.281650e-004	2.265207e-005
2.144792939387590e-004	5.969495e-004	5.179620e-005
2.284220459985892e-004	7.651097e-004	1.002354e-004
2.351912179457244e-004	7.991526e-004	1.235104e-004
2.399708891143224e-004	8.172183e-004	1.387193e-004
2.434931998636865e-004	8.281397e-004	1.484788e-004
2.468311069137491e-004	8.363703e-004	1.561651e-004
2.504425727693509e-004	8.429218e-004	1.626435e-004
2.537206404821395e-004	8.461259e-004	1.663236e-004
2.590530681718994e-004	8.446030e-004	1.668511e-004
2.676649022830069e-004	8.239471e-004	1.540686e-004
2.798854769489837e-004	7.143721e-004	1.112864e-004
2.920040852471143e-004	4.242920e-004	4.705184e-005
2.991039783526287e-004	1.212438e-004	1.948294e-006
3.054702594073273e-004	-2.055887e-004	-3.992182e-005
3.118049196685859e-004	-5.132922e-004	-7.877052e-005
3.235200752520924e-004	-1.004198e-003	-1.395749e-004
3.351171236590965e-004	-1.384249e-003	-1.857282e-004
3.399171406102075e-004	-1.491958e-003	-1.984659e-004
3.434530488216257e-004	-1.540727e-003	-2.039561e-004
3.467828164368838e-004	-1.566388e-003	-2.065430e-004
3.503568224359795e-004	-1.574029e-003	-2.067999e-004
3.535810158891786e-004	-1.560647e-003	-2.044895e-004
3.588262913220322e-004	-1.495760e-003	-1.954125e-004
3.673012202160408e-004	-1.299761e-003	-1.698028e-004
3.793120388906545e-004	-8.785062e-004	-1.167359e-004
3.911445902786655e-004	-3.467232e-004	-5.113435e-005
4.000356031979603e-004	1.013875e-004	3.416224e-006
4.093351965135127e-004	5.130291e-004	6.099753e-005
4.179228859284878e-004	7.266547e-004	1.119545e-004
4.299476406046802e-004	8.465464e-004	1.784765e-004
4.362438067570627e-004	8.844234e-004	2.091786e-004
4.407374765450662e-004	9.049647e-004	2.273275e-004
4.440670109560154e-004	9.167230e-004	2.380753e-004
4.475231807740006e-004	9.253140e-004	2.462274e-004
4.520778422626351e-004	9.315311e-004	2.526040e-004
4.563824620733365e-004	9.309422e-004	2.530554e-004
4.633658636589246e-004	9.140396e-004	2.403889e-004
4.745192645959930e-004	8.476406e-004	1.929826e-004
