time	V(N001,N002)	V(a)
Step Information: C=1µ  (Run: 1/4)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.048921498560962e-006	5.731079e-001	7.679165e-012
1.060130598358909e-005	6.714267e-001	3.935152e-011
1.132094112974788e-005	7.170041e-001	9.321814e-011
1.172240139580668e-005	7.424301e-001	1.533300e-010
1.215761044769205e-005	7.699936e-001	2.616248e-010
1.258793119047588e-005	7.972474e-001	4.433630e-010
1.303006386903524e-005	8.252494e-001	7.617351e-010
1.346576035842536e-005	8.528436e-001	1.298663e-009
1.390746168235744e-005	8.808182e-001	2.229933e-009
1.434482655186293e-005	9.085181e-001	3.809371e-009
1.478567127407469e-005	9.364384e-001	6.534612e-009
1.522383990518665e-005	9.641891e-001	1.117398e-008
1.566409428157296e-005	9.920719e-001	1.915478e-008
1.610272563369597e-005	1.019852e+000	3.277250e-008
1.654261657044071e-005	1.047712e+000	5.615572e-008
1.698152663076902e-005	1.075509e+000	9.611074e-008
1.742119861739916e-005	1.103355e+000	1.646432e-007
1.786027841840573e-005	1.131163e+000	2.818445e-007
1.829981964917952e-005	1.159001e+000	4.827399e-007
1.873900411732732e-005	1.186816e+000	8.264790e-007
1.917846927373687e-005	1.214648e+000	1.415449e-006
1.961772158802302e-005	1.242467e+000	2.423510e-006
2.005714817739285e-005	1.270297e+000	4.150324e-006
2.049645381658434e-005	1.298120e+000	7.106424e-006
2.093587782567738e-005	1.325950e+000	1.216949e-005
2.137525085197741e-005	1.353776e+000	2.083777e-005
2.181473317046465e-005	1.381610e+000	3.568290e-005
2.225424912413079e-005	1.409445e+000	6.109996e-005
2.269394141240075e-005	1.437292e+000	1.046249e-004
2.313384278028985e-005	1.465152e+000	1.791451e-004
2.357417422088395e-005	1.493039e+000	3.067394e-004
2.401518689222835e-005	1.520969e+000	5.251672e-004
2.445741300751350e-005	1.548976e+000	8.990560e-004
2.490169351680904e-005	1.577113e+000	1.538852e-003
2.534955062147524e-005	1.605477e+000	2.633291e-003
2.580360874083912e-005	1.634233e+000	4.504486e-003
2.626859953526859e-005	1.663682e+000	7.702802e-003
2.675323568241741e-005	1.694374e+000	1.317703e-002
2.727464101111164e-005	1.727396e+000	2.260411e-002
2.786767653496942e-005	1.764953e+000	3.915000e-002
2.863887905152785e-005	1.813794e+000	7.015044e-002
2.973000005623424e-005	1.882895e+000	1.265226e-001
3.098283481125512e-005	1.962238e+000	2.005984e-001
3.228499759693273e-005	2.044704e+000	2.818533e-001
3.785665846106768e-005	2.397549e+000	6.344428e-001
3.331534795301718e-004	2.104440e+001	1.928019e+001
6.847159795301721e-004	4.288557e+001	4.112090e+001
1.036278479530172e-003	6.397453e+001	6.221030e+001
1.387840979530173e-003	8.394138e+001	8.217852e+001
1.758934729530173e-003	1.034135e+002	1.016532e+002
2.130028479530173e-003	1.208650e+002	1.191084e+002
2.501122229530174e-003	1.359548e+002	1.342033e+002
2.872215979530174e-003	1.483880e+002	1.466434e+002
3.243309729530174e-003	1.579218e+002	1.561862e+002
3.614403479530175e-003	1.643698e+002	1.626465e+002
3.985497229530173e-003	1.676060e+002	1.659002e+002
4.200340979530168e-003	1.679842e+002	1.662926e+002
4.415184729530164e-003	1.672609e+002	1.655897e+002
4.571434729530160e-003	1.660456e+002	1.643966e+002
4.688622229530158e-003	1.647558e+002	1.631331e+002
4.747215979530157e-003	1.639902e+002	1.623872e+002
4.766747229530156e-003	1.637172e+002	1.621225e+002
4.786278479530156e-003	1.634353e+002	1.618501e+002
4.805809729530155e-003	1.631445e+002	1.615705e+002
4.825340979530155e-003	1.628449e+002	1.612841e+002
4.844872229530155e-003	1.625365e+002	1.609914e+002
4.864403479530154e-003	1.622192e+002	1.606932e+002
4.883934729530154e-003	1.618932e+002	1.603905e+002
4.903465979530153e-003	1.615584e+002	1.600844e+002
4.922997229530153e-003	1.612148e+002	1.597759e+002
4.942528479530152e-003	1.608625e+002	1.594661e+002
4.962059729530152e-003	1.605015e+002	1.591558e+002
4.981590979530152e-003	1.601318e+002	1.588456e+002
5.001122229530151e-003	1.597533e+002	1.585358e+002
5.020653479530151e-003	1.593663e+002	1.582265e+002
5.040184729530150e-003	1.589706e+002	1.579178e+002
5.059715979530150e-003	1.585662e+002	1.576096e+002
5.079247229530150e-003	1.581533e+002	1.573021e+002
5.098778479530149e-003	1.577318e+002	1.569952e+002
5.118309729530149e-003	1.573017e+002	1.566888e+002
5.137840979530148e-003	1.568632e+002	1.563831e+002
5.157372229530148e-003	1.564161e+002	1.560780e+002
5.176903479530147e-003	1.559605e+002	1.557734e+002
5.196434729530147e-003	1.554965e+002	1.554695e+002
5.215965979530147e-003	1.550240e+002	1.551661e+002
5.235497229530146e-003	1.545432e+002	1.548633e+002
5.255028479530146e-003	1.540539e+002	1.545612e+002
5.274559729530145e-003	1.535563e+002	1.542596e+002
5.294090979530145e-003	1.530504e+002	1.539586e+002
5.313622229530145e-003	1.525362e+002	1.536582e+002
5.333153479530144e-003	1.520137e+002	1.533584e+002
5.352684729530144e-003	1.514830e+002	1.530591e+002
5.391747229530143e-003	1.503970e+002	1.524624e+002
5.430809729530142e-003	1.492783e+002	1.518680e+002
5.469872229530141e-003	1.481273e+002	1.512759e+002
5.528465979530140e-003	1.463405e+002	1.503922e+002
5.587059729530139e-003	1.444824e+002	1.495135e+002
5.645653479530137e-003	1.425538e+002	1.486400e+002
5.723778479530136e-003	1.398743e+002	1.474833e+002
5.801903479530134e-003	1.370735e+002	1.463356e+002
5.899559729530132e-003	1.334055e+002	1.449135e+002
5.997215979530130e-003	1.295568e+002	1.435052e+002
6.114403479530127e-003	1.247070e+002	1.418333e+002
6.251122229530125e-003	1.187421e+002	1.399074e+002
6.407372229530121e-003	1.115398e+002	1.377383e+002
6.583153479530117e-003	1.029760e+002	1.353383e+002
6.797997229530113e-003	9.189922e+001	1.324616e+002
7.051903479530108e-003	7.803758e+001	1.291407e+002
7.364403479530101e-003	6.001029e+001	1.251674e+002
7.794090979530092e-003	3.391744e+001	1.199031e+002
8.887840979530069e-003	-3.486377e+001	1.074804e+002
9.258934729530061e-003	-5.743929e+001	1.035650e+002
9.512840979530056e-003	-7.226498e+001	1.009685e+002
9.688622229530052e-003	-8.214926e+001	9.920917e+001
9.805809729530050e-003	-8.854106e+001	9.805334e+001
9.883934729530048e-003	-9.270702e+001	9.729029e+001
9.922997229530047e-003	-9.476006e+001	9.691099e+001
9.942528479530047e-003	-9.577891e+001	9.672189e+001
9.962059729530046e-003	-9.679256e+001	9.653358e+001
9.981590979530046e-003	-9.780097e+001	9.656268e+001
1.000112222953005e-002	-9.880407e+001	9.711583e+001
1.002065347953005e-002	-9.980182e+001	9.804490e+001
1.004018472953005e-002	-1.007942e+002	9.903637e+001
1.005971597953004e-002	-1.017810e+002	1.000220e+002
1.007924722953004e-002	-1.027624e+002	1.010033e+002
1.009877847953004e-002	-1.037382e+002	1.019787e+002
1.011830972953004e-002	-1.047083e+002	1.029489e+002
1.013784097953004e-002	-1.056728e+002	1.039133e+002
1.043080972953004e-002	-1.194240e+002	1.176670e+002
1.080190347953003e-002	-1.347335e+002	1.329815e+002
1.117299722953002e-002	-1.474103e+002	1.456649e+002
1.154409097953001e-002	-1.572067e+002	1.554702e+002
1.191518472953001e-002	-1.639313e+002	1.622067e+002
1.228627847953000e-002	-1.674527e+002	1.657450e+002
1.252065347952999e-002	-1.679926e+002	1.663001e+002
1.273549722952999e-002	-1.673361e+002	1.656633e+002
1.293080972952998e-002	-1.657869e+002	1.641427e+002
1.302846597952998e-002	-1.646747e+002	1.630538e+002
1.306752847952998e-002	-1.641672e+002	1.625592e+002
1.310659097952998e-002	-1.636242e+002	1.620325e+002
1.312612222952998e-002	-1.633393e+002	1.617577e+002
1.314565347952998e-002	-1.630456e+002	1.614758e+002
1.316518472952998e-002	-1.627431e+002	1.611872e+002
1.318471597952998e-002	-1.624317e+002	1.608926e+002
1.320424722952998e-002	-1.621116e+002	1.605928e+002
1.322377847952998e-002	-1.617826e+002	1.602888e+002
1.324330972952998e-002	-1.614449e+002	1.599818e+002
1.326284097952998e-002	-1.610984e+002	1.596727e+002
1.328237222952998e-002	-1.607431e+002	1.593627e+002
1.330190347952998e-002	-1.603792e+002	1.590524e+002
1.332143472952998e-002	-1.600066e+002	1.587423e+002
1.334096597952997e-002	-1.596253e+002	1.584326e+002
1.336049722952997e-002	-1.592353e+002	1.581235e+002
1.338002847952997e-002	-1.588367e+002	1.578150e+002
1.339955972952997e-002	-1.584295e+002	1.575070e+002
1.341909097952997e-002	-1.580137e+002	1.571997e+002
1.343862222952997e-002	-1.575894e+002	1.568930e+002
1.345815347952997e-002	-1.571565e+002	1.565869e+002
1.347768472952997e-002	-1.567151e+002	1.562813e+002
1.349721597952997e-002	-1.562652e+002	1.559764e+002
1.351674722952997e-002	-1.558068e+002	1.556720e+002
1.353627847952997e-002	-1.553399e+002	1.553683e+002
1.355580972952997e-002	-1.548647e+002	1.550651e+002
1.357534097952997e-002	-1.543810e+002	1.547626e+002
1.359487222952997e-002	-1.538890e+002	1.544606e+002
1.361440347952997e-002	-1.533886e+002	1.541592e+002
1.363393472952997e-002	-1.528799e+002	1.538584e+002
1.365346597952997e-002	-1.523630e+002	1.535582e+002
1.367299722952997e-002	-1.518377e+002	1.532585e+002
1.369252847952997e-002	-1.513043e+002	1.529595e+002
1.373159097952997e-002	-1.502128e+002	1.523632e+002
1.377065347952997e-002	-1.490887e+002	1.517692e+002
1.380971597952996e-002	-1.479323e+002	1.511775e+002
1.386830972952996e-002	-1.461376e+002	1.502943e+002
1.392690347952996e-002	-1.442716e+002	1.494162e+002
1.398549722952996e-002	-1.423352e+002	1.485433e+002
1.406362222952996e-002	-1.396455e+002	1.473873e+002
1.414174722952996e-002	-1.368347e+002	1.462403e+002
1.423940347952996e-002	-1.331545e+002	1.448192e+002
1.433705972952995e-002	-1.292939e+002	1.434118e+002
1.445424722952995e-002	-1.244304e+002	1.417410e+002
1.459096597952995e-002	-1.184500e+002	1.398163e+002
1.474721597952994e-002	-1.112311e+002	1.376487e+002
1.492299722952994e-002	-1.026499e+002	1.352502e+002
1.513784097952994e-002	-9.155377e+001	1.323754e+002
1.539174722952993e-002	-7.767220e+001	1.290566e+002
1.570424722952992e-002	-5.962498e+001	1.250860e+002
1.613393472952992e-002	-3.351350e+001	1.198250e+002
1.629018472952991e-002	-2.376401e+001	1.179673e+002
1.722768472952989e-002	3.526702e+001	1.074105e+002
1.759877847952988e-002	5.782660e+001	1.034976e+002
1.785268472952988e-002	7.263699e+001	1.009028e+002
1.802846597952987e-002	8.250869e+001	9.914459e+001
1.814565347952987e-002	8.889120e+001	9.798952e+001
1.822377847952987e-002	9.305060e+001	9.722697e+001
1.826284097952987e-002	9.510026e+001	9.684792e+001
1.828237222952987e-002	9.611738e+001	9.665894e+001
1.830190347952987e-002	9.712929e+001	9.651070e+001
1.832143472952987e-002	9.813594e+001	9.667773e+001
1.834096597952987e-002	9.913726e+001	9.738965e+001
1.836049722952987e-002	1.001332e+002	9.837903e+001
1.838002847952987e-002	1.011237e+002	9.936809e+001
1.839955972952987e-002	1.021088e+002	1.003511e+002
1.841909097952987e-002	1.030883e+002	1.013300e+002
1.843862222952987e-002	1.040622e+002	1.023031e+002
1.845815347952987e-002	1.050305e+002	1.032713e+002
1.847768472952987e-002	1.059930e+002	1.042337e+002
1.849721597952986e-002	1.069499e+002	1.051906e+002
1.855580972952986e-002	1.097854e+002	1.080262e+002
1.892690347952986e-002	1.264448e+002	1.246898e+002
1.929799722952985e-002	1.406335e+002	1.388842e+002
1.966909097952984e-002	1.520742e+002	1.503324e+002
1.998159097952983e-002	1.594113e+002	1.576778e+002
2.000000000000000e-002	1.597775e+002	1.580445e+002
Step Information: C=10µ  (Run: 2/4)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.048921498560962e-006	5.731079e-001	7.679165e-012
1.060130598358909e-005	6.714267e-001	3.935152e-011
1.132094112974788e-005	7.170041e-001	9.321814e-011
1.172240139580668e-005	7.424301e-001	1.533300e-010
1.215761044769205e-005	7.699936e-001	2.616248e-010
1.258793119047588e-005	7.972474e-001	4.433630e-010
1.303006386903524e-005	8.252494e-001	7.617351e-010
1.346576035842536e-005	8.528436e-001	1.298663e-009
1.390746168235744e-005	8.808182e-001	2.229933e-009
1.434482655186293e-005	9.085181e-001	3.809371e-009
1.478567127407469e-005	9.364384e-001	6.534612e-009
1.522383990518665e-005	9.641891e-001	1.117398e-008
1.566409428157296e-005	9.920719e-001	1.915478e-008
1.610272563369597e-005	1.019852e+000	3.277250e-008
1.654261657044071e-005	1.047712e+000	5.615572e-008
1.698152663076902e-005	1.075509e+000	9.611074e-008
1.742119861739916e-005	1.103355e+000	1.646432e-007
1.786027841840573e-005	1.131163e+000	2.818445e-007
1.829981964917952e-005	1.159001e+000	4.827399e-007
1.873900411732732e-005	1.186816e+000	8.264790e-007
1.917846927373687e-005	1.214648e+000	1.415449e-006
1.961772158802302e-005	1.242467e+000	2.423510e-006
2.005714817739285e-005	1.270297e+000	4.150324e-006
2.049645381658434e-005	1.298120e+000	7.106424e-006
2.093587782567738e-005	1.325950e+000	1.216949e-005
2.137525085197741e-005	1.353776e+000	2.083777e-005
2.181473317046465e-005	1.381610e+000	3.568290e-005
2.225424912413079e-005	1.409445e+000	6.109996e-005
2.269394141240075e-005	1.437292e+000	1.046249e-004
2.313384278028985e-005	1.465152e+000	1.791451e-004
2.357417422088395e-005	1.493039e+000	3.067394e-004
2.401518689222835e-005	1.520969e+000	5.251672e-004
2.445741300751350e-005	1.548976e+000	8.990560e-004
2.490169351680904e-005	1.577113e+000	1.538852e-003
2.534955062147524e-005	1.605477e+000	2.633291e-003
2.580360874083912e-005	1.634233e+000	4.504486e-003
2.626859953526859e-005	1.663682e+000	7.702802e-003
2.675323568241741e-005	1.694374e+000	1.317703e-002
2.727464101111164e-005	1.727396e+000	2.260411e-002
2.786767653496942e-005	1.764953e+000	3.915000e-002
2.863887905152785e-005	1.813794e+000	7.015044e-002
2.973000005623424e-005	1.882895e+000	1.265226e-001
3.098283481125512e-005	1.962238e+000	2.005984e-001
3.228499759693273e-005	2.044704e+000	2.818533e-001
3.785665846106768e-005	2.397549e+000	6.344428e-001
3.331534795301718e-004	2.104440e+001	1.928019e+001
6.847159795301721e-004	4.288557e+001	4.112090e+001
1.036278479530172e-003	6.397453e+001	6.221030e+001
1.387840979530173e-003	8.394138e+001	8.217852e+001
1.758934729530173e-003	1.034135e+002	1.016532e+002
2.130028479530173e-003	1.208650e+002	1.191084e+002
2.501122229530174e-003	1.359548e+002	1.342033e+002
2.872215979530174e-003	1.483880e+002	1.466434e+002
3.243309729530174e-003	1.579218e+002	1.561862e+002
3.614403479530175e-003	1.643698e+002	1.626465e+002
3.985497229530173e-003	1.676060e+002	1.659002e+002
4.200340979530168e-003	1.679842e+002	1.662926e+002
4.415184729530164e-003	1.672609e+002	1.655897e+002
4.551903479530161e-003	1.662291e+002	1.645768e+002
4.688622229530158e-003	1.647558e+002	1.631331e+002
4.747215979530157e-003	1.639902e+002	1.623872e+002
4.766747229530156e-003	1.637172e+002	1.621225e+002
4.786278479530156e-003	1.634353e+002	1.618501e+002
4.805809729530155e-003	1.631445e+002	1.615705e+002
4.825340979530155e-003	1.628449e+002	1.612841e+002
4.844872229530155e-003	1.625365e+002	1.609914e+002
4.864403479530154e-003	1.622192e+002	1.606932e+002
4.883934729530154e-003	1.618932e+002	1.603905e+002
4.903465979530153e-003	1.615584e+002	1.600844e+002
4.922997229530153e-003	1.612148e+002	1.597759e+002
4.942528479530152e-003	1.608625e+002	1.594661e+002
4.962059729530152e-003	1.605015e+002	1.591558e+002
4.981590979530152e-003	1.601318e+002	1.588456e+002
5.001122229530151e-003	1.597533e+002	1.585358e+002
5.020653479530151e-003	1.593663e+002	1.582265e+002
5.040184729530150e-003	1.589706e+002	1.579178e+002
5.059715979530150e-003	1.585662e+002	1.576096e+002
5.079247229530150e-003	1.581533e+002	1.573021e+002
5.098778479530149e-003	1.577318e+002	1.569952e+002
5.118309729530149e-003	1.573017e+002	1.566888e+002
5.137840979530148e-003	1.568632e+002	1.563831e+002
5.157372229530148e-003	1.564161e+002	1.560780e+002
5.176903479530147e-003	1.559605e+002	1.557734e+002
5.196434729530147e-003	1.554965e+002	1.554695e+002
5.215965979530147e-003	1.550240e+002	1.551661e+002
5.235497229530146e-003	1.545432e+002	1.548633e+002
5.255028479530146e-003	1.540539e+002	1.545612e+002
5.274559729530145e-003	1.535563e+002	1.542596e+002
5.294090979530145e-003	1.530504e+002	1.539586e+002
5.313622229530145e-003	1.525362e+002	1.536582e+002
5.333153479530144e-003	1.520137e+002	1.533584e+002
5.352684729530144e-003	1.514830e+002	1.530591e+002
5.391747229530143e-003	1.503970e+002	1.524624e+002
5.430809729530142e-003	1.492783e+002	1.518680e+002
5.469872229530141e-003	1.481273e+002	1.512759e+002
5.528465979530140e-003	1.463405e+002	1.503922e+002
5.587059729530139e-003	1.444824e+002	1.495135e+002
5.645653479530137e-003	1.425538e+002	1.486400e+002
5.723778479530136e-003	1.398743e+002	1.474833e+002
5.801903479530134e-003	1.370735e+002	1.463356e+002
5.899559729530132e-003	1.334055e+002	1.449135e+002
5.997215979530130e-003	1.295568e+002	1.435052e+002
6.114403479530127e-003	1.247070e+002	1.418333e+002
6.251122229530125e-003	1.187421e+002	1.399074e+002
6.407372229530121e-003	1.115398e+002	1.377383e+002
6.583153479530117e-003	1.029760e+002	1.353383e+002
6.797997229530113e-003	9.189922e+001	1.324616e+002
7.051903479530108e-003	7.803758e+001	1.291407e+002
7.364403479530101e-003	6.001029e+001	1.251674e+002
7.794090979530092e-003	3.391744e+001	1.199031e+002
8.887840979530069e-003	-3.486377e+001	1.074804e+002
9.258934729530061e-003	-5.743929e+001	1.035650e+002
9.512840979530056e-003	-7.226498e+001	1.009685e+002
9.688622229530052e-003	-8.214926e+001	9.920917e+001
