Freq.	V(salida)
Step Information: C=100n  (Run: 1/5)
1.00000000000000e+000	-4.67754184355138e-007,7.09348079957995e-009
1.02329299228075e+000	-4.89793474912937e-007,7.60071995200624e-009
1.04712854805090e+000	-5.12870935475418e-007,8.14422653345060e-009
1.07151930523761e+000	-5.37035444325742e-007,8.72659314995178e-009
1.09647819614318e+000	-5.62338178569321e-007,9.35059768070465e-009
1.12201845430196e+000	-5.88832722017125e-007,1.00192165105943e-008
1.14815362149688e+000	-6.16575178109211e-007,1.07356387069035e-008
1.17489755493953e+000	-6.45624288111992e-007,1.15032812074589e-008
1.20226443461741e+000	-6.76041554833121e-007,1.23258050922509e-008
1.23026877081238e+000	-7.07891372108762e-007,1.32071330156736e-008
1.25892541179417e+000	-7.41241160329890e-007,1.41514678820168e-008
1.28824955169313e+000	-7.76161508286100e-007,1.51633128527036e-008
1.31825673855641e+000	-8.12726321617828e-007,1.62474927800344e-008
1.34896288259165e+000	-8.51012978181158e-007,1.74091771689307e-008
1.38038426460288e+000	-8.91102490643028e-007,1.86539047753613e-008
1.41253754462275e+000	-9.33079676638532e-007,1.99876099578232e-008
1.44543977074593e+000	-9.77033336837339e-007,2.14166509065128e-008
1.47910838816821e+000	-1.02305644128098e-006,2.29478398836133e-008
1.51356124843621e+000	-1.07124632436962e-006,2.45884756176036e-008
1.54881661891248e+000	-1.12170488889288e-006,2.63463780045570e-008
1.58489319246111e+000	-1.17453881951698e-006,2.82299252802358e-008
1.62181009735893e+000	-1.22985980615887e-006,3.02480938383583e-008
1.65958690743756e+000	-1.28778477769611e-006,3.24105008827681e-008
1.69824365246174e+000	-1.34843614648173e-006,3.47274501145241e-008
1.73780082874937e+000	-1.41194206415255e-006,3.72099806690394e-008
1.77827941003892e+000	-1.47843668924174e-006,3.98699195336237e-008
1.81970085860998e+000	-1.54806046712737e-006,4.27199376919428e-008
1.86208713666287e+000	-1.62096042287199e-006,4.57736102592787e-008
1.90546071796325e+000	-1.69729046753162e-006,4.90454808910152e-008
1.94984459975804e+000	-1.77721171853737e-006,5.25511307666150e-008
1.99526231496888e+000	-1.86089283477784e-006,5.63072524725555e-008
2.04173794466953e+000	-1.94851036703700e-006,6.03317291303657e-008
2.08929613085404e+000	-2.04024912446962e-006,6.46437191401756e-008
2.13796208950223e+000	-2.13630255782377e-006,6.92637469360539e-008
2.18776162394955e+000	-2.23687316015025e-006,7.42138001771864e-008
2.23872113856834e+000	-2.34217288576721e-006,7.95174338284590e-008
2.29086765276777e+000	-2.45242358828085e-006,8.51998816157284e-008
2.34422881531992e+000	-2.56785747849376e-006,9.12881753747832e-008
2.39883291901949e+000	-2.68871760306632e-006,9.78112728491744e-008
2.45470891568503e+000	-2.81525834483025e-006,1.04800194530627e-007
2.51188643150958e+000	-2.94774594568747e-006,1.12288170176877e-007
2.57039578276886e+000	-3.08645905306429e-006,1.20310795685856e-007
2.63026799189538e+000	-3.23168929092762e-006,1.28906201052040e-007
2.69153480392691e+000	-3.38374185640593e-006,1.38115230180853e-007
2.75422870333816e+000	-3.54293614309831e-006,1.47981633390582e-007
2.81838293126445e+000	-3.70960639219266e-006,1.58552273488274e-007
2.88403150312660e+000	-3.88410237255385e-006,1.69877346366902e-007
2.95120922666638e+000	-4.06679009098496e-006,1.82010617136167e-007
3.01995172040201e+000	-4.25805253390457e-006,1.95009672868391e-007
3.09029543251359e+000	-4.45829044172407e-006,2.08936193114730e-007
