time	V(salida)	V(vi)
Step Information: C=100n  (Run: 1/5)
0.000000000000000e+000	4.908809e-017	0.000000e+000
5.000000058430487e-008	1.510014e-004	1.570796e-004
1.000000011686097e-007	3.010815e-004	3.141592e-004
2.000000023372195e-007	5.985065e-004	6.283182e-004
4.000000046744390e-007	1.182611e-003	1.256635e-003
8.000000093488779e-007	2.309347e-003	2.513254e-003
1.600000018697756e-006	4.408159e-003	5.026389e-003
3.200000037395512e-006	8.065403e-003	1.005183e-002
6.400000074791024e-006	1.370184e-002	2.009604e-002
1.280000014958205e-005	2.070221e-002	4.013119e-002
2.560000029916409e-005	2.690928e-002	7.986388e-002
4.513125029916410e-005	2.914357e-002	1.393654e-001
6.466250029916410e-005	2.837513e-002	1.968574e-001
8.419375029916411e-005	2.667828e-002	2.513884e-001
1.037250002991641e-004	2.457041e-002	3.021383e-001
1.232562502991641e-004	2.209447e-002	3.483438e-001
1.427875002991641e-004	1.928786e-002	3.893099e-001
1.623187502991641e-004	1.619284e-002	4.244204e-001
1.818500002991641e-004	1.285603e-002	4.531471e-001
2.013812502991641e-004	9.327656e-003	4.750582e-001
2.209125002991641e-004	5.660871e-003	4.898239e-001
2.404437502991640e-004	1.910889e-003	4.972222e-001
2.599750002991640e-004	-1.865824e-003	4.971419e-001
2.795062502991641e-004	-5.612406e-003	4.895840e-001
2.990375002991641e-004	-9.272461e-003	4.746624e-001
3.185687502991641e-004	-1.279091e-002	4.526014e-001
3.381000002991641e-004	-1.611481e-002	4.237328e-001
3.576312502991641e-004	-1.919418e-002	3.884909e-001
3.771625002991641e-004	-2.198272e-002	3.474058e-001
3.966937502991642e-004	-2.443853e-002	3.010953e-001
4.162250002991642e-004	-2.652475e-002	2.502561e-001
4.357562502991642e-004	-2.821007e-002	1.956528e-001
4.552875002991642e-004	-2.946924e-002	1.381067e-001
4.748187502991642e-004	-3.028344e-002	7.848336e-002
4.943500002991642e-004	-3.064052e-002	1.767954e-002
5.138812502991642e-004	-3.053525e-002	-4.339019e-002
5.334125002991642e-004	-2.996930e-002	-1.038073e-001
5.529437502991642e-004	-2.895128e-002	-1.626630e-001
5.724750002991643e-004	-2.749659e-002	-2.190722e-001
5.920062502991643e-004	-2.562716e-002	-2.721863e-001
6.115375002991643e-004	-2.337112e-002	-3.212065e-001
6.310687502991643e-004	-2.076241e-002	-3.653953e-001
6.506000002991643e-004	-1.784020e-002	-4.040884e-001
6.701312502991643e-004	-1.464840e-002	-4.367035e-001
6.896625002991644e-004	-1.123492e-002	-4.627503e-001
7.091937502991644e-004	-7.650985e-003	-4.818368e-001
7.287250002991644e-004	-3.951970e-003	-4.940051e-001
7.448206086292526e-004	-8.527300e-004	-4.982874e-001
7.630743418223780e-004	2.672234e-003	-4.965629e-001
7.826055918223780e-004	6.403433e-003	-4.877032e-001
8.021368418223780e-004	1.004097e-002	-4.716309e-001
8.216680918223781e-004	1.352947e-002	-4.484648e-001
8.411993418223781e-004	1.681639e-002	-4.185533e-001
8.607305918223781e-004	1.985224e-002	-3.823464e-001
8.802618418223781e-004	2.259131e-002	-3.403887e-001
8.997930918223781e-004	2.499231e-002	-2.933112e-001
9.193243418223781e-004	2.701902e-002	-2.418220e-001
9.388555918223782e-004	2.864085e-002	-1.866956e-001
9.583868418223782e-004	2.983329e-002	-1.287611e-001
9.779180918223782e-004	3.057829e-002	-6.888998e-002
9.974493418223782e-004	3.086455e-002	-7.982654e-003
1.016980591822378e-003	3.068767e-002	5.304474e-002
1.036511841822378e-003	3.005025e-002	1.132743e-001
1.056043091822378e-003	2.896182e-002	1.718001e-001
1.075574341822378e-003	2.743873e-002	2.277419e-001
1.095105591822378e-003	2.550387e-002	2.802582e-001
1.114636841822378e-003	2.318635e-002	3.285592e-001
1.134168091822378e-003	2.052107e-002	3.719183e-001
1.153699341822378e-003	1.754814e-002	4.096834e-001
1.173230591822378e-003	1.431235e-002	4.412866e-001
1.192761841822378e-003	1.086243e-002	4.662523e-001
1.212293091822378e-003	7.250337e-003	4.842052e-001
1.231824341822378e-003	3.531787e-003	4.952281e-001
1.247676074985977e-003	4.704462e-004	4.986603e-001
1.264136188250303e-003	-2.711626e-003	4.964514e-001
1.283667438250303e-003	-6.442622e-003	4.870163e-001
1.303198688250303e-003	-1.007665e-002	4.705511e-001
1.322729938250303e-003	-1.355769e-002	4.470083e-001
1.342261188250303e-003	-1.683327e-002	4.167421e-001
1.361792438250303e-003	-1.985411e-002	3.802078e-001
1.381323688250303e-003	-2.257481e-002	3.379548e-001
1.400854938250303e-003	-2.495449e-002	2.906186e-001
1.420386188250303e-003	-2.695742e-002	2.389112e-001
1.439917438250303e-003	-2.855354e-002	1.836104e-001
1.459448688250303e-003	-2.971896e-002	1.255479e-001
1.478979938250303e-003	-3.043624e-002	6.559706e-002
1.498511188250303e-003	-3.069471e-002	4.659584e-003
1.518042438250303e-003	-3.049059e-002	-5.634798e-002
1.537573688250303e-003	-2.982706e-002	-1.165080e-001
1.557104938250303e-003	-2.871417e-002	-1.749157e-001
1.576636188250303e-003	-2.716875e-002	-2.306924e-001
1.596167438250303e-003	-2.521406e-002	-2.829994e-001
1.615698688250303e-003	-2.287952e-002	-3.310497e-001
1.635229938250303e-003	-2.020023e-002	-3.741208e-001
1.654761188250303e-003	-1.721643e-002	-4.115647e-001
1.674292438250303e-003	-1.397293e-002	-4.428183e-001
1.693823688250303e-003	-1.051841e-002	-4.674115e-001
1.713354938250303e-003	-6.904727e-003	-4.849744e-001
1.732886188250303e-003	-3.187067e-003	-4.955320e-001
1.749405051094904e-003	3.607695e-007	-4.987443e-001
1.764778867646190e-003	2.968031e-003	-4.963732e-001
1.784310117646190e-003	6.692380e-003	-4.865900e-001
1.803841367646190e-003	1.031931e-002	-4.698873e-001
1.823372617646190e-003	1.379256e-002	-4.461172e-001
1.842903867646190e-003	1.705977e-002	-4.156370e-001
1.862435117646190e-003	2.007176e-002	-3.789052e-001
1.881966367646190e-003	2.278317e-002	-3.364743e-001
1.901497617646190e-003	2.515313e-002	-2.889826e-001
1.921028867646190e-003	2.714589e-002	-2.371443e-001
1.940560117646190e-003	2.873138e-002	-1.817391e-001
1.960091367646190e-003	2.988563e-002	-1.236004e-001
1.979622617646190e-003	3.059119e-002	-6.360261e-002
1.999153867646190e-003	3.083733e-002	-2.648195e-003
2.018685117646190e-003	3.062029e-002	5.834605e-002
2.038216367646190e-003	2.994325e-002	1.184627e-001
2.057747617646190e-003	2.881636e-002	1.767976e-001
2.077278867646190e-003	2.725655e-002	2.324733e-001
2.096810117646190e-003	2.528726e-002	2.846523e-001
2.116341367646190e-003	2.293814e-002	3.325500e-001
2.135872617646190e-003	2.024454e-002	3.754457e-001
2.155403867646190e-003	1.724704e-002	4.126945e-001
2.174935117646190e-003	1.399078e-002	4.437358e-001
2.194466367646190e-003	1.052480e-002	4.681031e-001
2.213997617646190e-003	6.901310e-003	4.854296e-001
2.233528867646190e-003	3.175637e-003	4.957052e-001
2.250451477803203e-003	-9.476795e-005	4.987227e-001
2.265735149292714e-003	-3.047426e-003	4.960952e-001
2.285266399292714e-003	-6.771702e-003	4.859410e-001
2.304797649292714e-003	-1.039506e-002	4.688856e-001
2.324328899292714e-003	-1.386101e-002	4.447777e-001
2.343860149292714e-003	-1.711733e-002	4.139799e-001
2.363391399292714e-003	-2.011506e-002	3.769555e-001
2.382922649292714e-003	-2.280911e-002	3.342614e-001
2.402453899292714e-003	-2.515901e-002	2.865396e-001
2.421985149292714e-003	-2.712948e-002	2.345080e-001
2.441516399292714e-003	-2.869096e-002	1.789492e-001
2.461047649292714e-003	-2.982005e-002	1.206988e-001
2.480578899292714e-003	-3.049987e-002	6.063303e-002
2.500110149292714e-003	-3.072031e-002	-3.447431e-004
2.519641399292714e-003	-3.047816e-002	-6.131733e-002
2.539172649292714e-003	-2.977716e-002	-1.213676e-001
2.558703899292714e-003	-2.862793e-002	-1.795925e-001
2.578235149292714e-003	-2.704782e-002	-2.351161e-001
2.597766399292714e-003	-2.506064e-002	-2.871033e-001
2.617297649292714e-003	-2.269627e-002	-3.347722e-001
2.636828899292714e-003	-1.999026e-002	-3.774059e-001
2.656360149292714e-003	-1.698324e-002	-4.143630e-001
2.675891399292714e-003	-1.372037e-002	-4.450877e-001
2.695422649292714e-003	-1.025062e-002	-4.691179e-001
2.714953899292714e-003	-6.626064e-003	-4.860921e-001
2.734485149292714e-003	-2.901613e-003	-4.959478e-001
2.752008459549085e-003	4.814590e-004	-4.985553e-001
2.768270378407421e-003	3.616733e-003	-4.951549e-001
