time	V(n002)	I(L1)
Step Information: F=10  (Run: 1/7)
0.000000000000000e+000	0.000000e+000	0.000000e+000
4.516608113596365e-006	1.308437e-006	2.085056e-009
7.025091960942111e-006	3.154149e-006	7.828842e-009
8.763237153911420e-006	4.892517e-006	1.516829e-008
1.094525526201741e-005	7.595971e-006	2.947178e-008
1.367615148677938e-005	1.177373e-005	5.725571e-008
1.711996628855070e-005	1.824527e-005	1.116031e-007
2.147370652972695e-005	2.821085e-005	2.180996e-007
2.704289724980865e-005	4.352138e-005	4.289901e-007
3.427026155436714e-005	6.679387e-005	8.519189e-007
4.395686341636272e-005	1.015383e-004	1.725736e-006
5.785800376997401e-005	1.521374e-004	3.551463e-006
7.241006818843967e-005	1.974896e-004	6.128095e-006
8.946668308781377e-005	2.301177e-004	9.808340e-006
1.075506215725867e-004	2.317256e-004	1.396446e-005
1.313175973928653e-004	1.902145e-004	1.903125e-005
1.493525523379648e-004	1.363665e-004	2.213593e-005
1.612837878543462e-004	9.520588e-005	2.359645e-005
1.716112286717613e-004	6.224065e-005	2.442606e-005
1.816010003664915e-004	3.673061e-005	2.492622e-005
1.909293193676015e-004	2.078007e-005	2.519868e-005
1.998805907022149e-004	1.421020e-005	2.535582e-005
2.094072791262200e-004	1.778986e-005	2.551617e-005
2.225888227139033e-004	3.772034e-005	2.589572e-005
2.361141892313389e-004	7.176228e-005	2.665383e-005
2.511948857694519e-004	1.194146e-004	2.810702e-005
2.658448149516786e-004	1.657908e-004	3.020849e-005
2.821401114111637e-004	2.060708e-004	3.326408e-005
2.992225884180762e-004	2.248600e-004	3.695436e-005
3.197136104153295e-004	2.118761e-004	4.142191e-005
3.415663859448421e-004	1.658469e-004	4.566681e-005
3.545930706686225e-004	1.271648e-004	4.767342e-005
3.656081705920380e-004	9.249026e-005	4.890032e-005
3.766586992733742e-004	6.183256e-005	4.975388e-005
3.874579781858309e-004	3.932951e-005	5.030271e-005
3.979391617446807e-004	2.721109e-005	5.065107e-005
4.091446624876505e-004	2.628510e-005	5.095009e-005
4.212243936943852e-004	3.862086e-005	5.134545e-005
4.338756413509717e-004	6.423554e-005	5.200945e-005
4.479510788375136e-004	1.026995e-004	5.321142e-005
4.634966518584613e-004	1.484472e-004	5.518222e-005
4.792632928716393e-004	1.880680e-004	5.785065e-005
4.966947209905730e-004	2.131000e-004	6.136714e-005
5.158607830977476e-004	2.102840e-004	6.539866e-005
5.411881971062624e-004	1.696684e-004	7.034170e-005
5.538303495355781e-004	1.374739e-004	7.238003e-005
5.652859616176751e-004	1.043618e-004	7.377208e-005
5.770183321305804e-004	7.358629e-005	7.481322e-005
5.886857476439105e-004	5.012831e-005	7.553471e-005
6.003110834484420e-004	3.702641e-005	7.603941e-005
6.126048698326520e-004	3.626639e-005	7.649004e-005
6.264038660763290e-004	5.031159e-005	7.708489e-005
6.394368662226194e-004	7.577115e-005	7.791173e-005
6.537691191721770e-004	1.123991e-004	7.929111e-005
6.702430533478695e-004	1.557689e-004	8.152007e-005
6.864540697921330e-004	1.895707e-004	8.432991e-005
7.048790272416007e-004	2.071528e-004	8.800204e-005
7.250722364774241e-004	1.970373e-004	9.206698e-005
7.478514602753449e-004	1.571884e-004	9.619699e-005
7.614685561674157e-004	1.238350e-004	9.819572e-005
7.731996232768848e-004	9.383262e-005	9.948346e-005
7.852942965628133e-004	6.774296e-005	1.004546e-004
7.977617611873663e-004	4.994201e-005	1.011818e-004
8.111789422806570e-004	4.366715e-005	1.018053e-004
8.248277075019337e-004	5.183267e-005	1.024615e-004
8.399614678791725e-004	7.557048e-005	1.034281e-004
8.547925971300928e-004	1.086077e-004	1.048021e-004
8.709321191239944e-004	1.473990e-004	1.068873e-004
8.879204893861508e-004	1.810264e-004	1.096918e-004
9.060921519230905e-004	1.989430e-004	1.131547e-004
9.266951334192538e-004	1.906067e-004	1.171206e-004
9.554769583437809e-004	1.448261e-004	1.220654e-004
9.711710731145954e-004	1.103964e-004	1.242038e-004
9.831954904840820e-004	8.411989e-005	1.253955e-004
9.956244944564711e-004	6.381676e-005	1.263029e-004
1.010067418781299e-003	5.205858e-005	1.271293e-004
1.023946767174720e-003	5.530515e-005	1.278893e-004
1.043393361863442e-003	7.950271e-005	1.291885e-004
1.058953153737590e-003	1.097769e-004	1.306379e-004
